epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,31624.1,0.42661,0.31435,0.88855,0.99801,0.94444,0.95593,0.88781,0.3973,0.2735,0.77145,0.0010376,0.0010376,0.0010376
85,31998.9,0.42789,0.32499,0.91248,0.99914,0.94444,0.96412,0.90951,0.38107,0.2921,0.77374,0.00103288,0.00103288,0.00103288
86,32374.2,0.45043,0.316,0.90493,0.9989,0.94444,0.95811,0.89989,0.41157,0.2589,0.79337,0.00102817,0.00102817,0.00102817
87,32749.2,0.44556,0.32378,0.89351,0.99957,0.94444,0.95383,0.89174,0.40876,0.28392,0.79052,0.00102345,0.00102345,0.00102345
88,33124.1,0.41911,0.30163,0.89243,0.99759,0.94444,0.95981,0.89526,0.37756,0.24845,0.76762,0.00101873,0.00101873,0.00101873
89,33499,0.43209,0.3211,0.90538,0.99624,0.94444,0.9562,0.9025,0.38578,0.27485,0.77859,0.00101402,0.00101402,0.00101402
90,33874.1,0.44267,0.32178,0.9141,0.99589,0.94444,0.95137,0.8849,0.375,0.252,0.76568,0.0010093,0.0010093,0.0010093
91,34249.6,0.41173,0.30302,0.89502,0.99677,0.94444,0.95104,0.87403,0.40192,0.27424,0.76749,0.00100459,0.00100459,0.00100459
92,34624.6,0.41782,0.3127,0.89207,0.99704,0.94444,0.95383,0.87997,0.38405,0.25916,0.75671,0.000999871,0.000999871,0.000999871
93,34999.3,0.41891,0.31265,0.89109,0.99887,0.94444,0.95891,0.91257,0.37901,0.2666,0.76525,0.000995156,0.000995156,0.000995156
94,35374.4,0.43163,0.31111,0.90334,1,0.94114,0.95741,0.899,0.38179,0.28741,0.76333,0.00099044,0.00099044,0.00099044
95,35749.7,0.40542,0.29964,0.87354,0.99812,0.94444,0.95498,0.88699,0.36442,0.28468,0.75803,0.000985724,0.000985724,0.000985724
96,36124.8,0.39866,0.29634,0.88154,0.99809,0.94444,0.95647,0.89583,0.39566,0.28151,0.76095,0.000981008,0.000981008,0.000981008
97,36500.2,0.41208,0.29608,0.87943,1,0.94423,0.95775,0.89917,0.3618,0.25484,0.7487,0.000976293,0.000976293,0.000976293
98,36875.2,0.40436,0.28957,0.88839,1,0.94374,0.9512,0.88215,0.37962,0.26132,0.75124,0.000971577,0.000971577,0.000971577
99,37250.4,0.40281,0.2935,0.88347,0.99716,0.94444,0.95112,0.89373,0.41069,0.26316,0.75936,0.000966861,0.000966861,0.000966861
100,37625.5,0.42363,0.30051,0.88768,0.99762,0.94444,0.95811,0.89219,0.43687,0.2749,0.76772,0.000962146,0.000962146,0.000962146
101,38000.9,0.42879,0.3108,0.89718,1,0.94409,0.96412,0.90569,0.38787,0.26154,0.76068,0.00095743,0.00095743,0.00095743
102,38376.4,0.40727,0.29641,0.88711,1,0.94221,0.95418,0.88869,0.36719,0.2582,0.75543,0.000952714,0.000952714,0.000952714
103,38751.7,0.40275,0.3047,0.87715,1,0.94367,0.95291,0.89168,0.39043,0.28272,0.76221,0.000947999,0.000947999,0.000947999
104,39126.9,0.40221,0.30088,0.88705,1,0.9413,0.96686,0.90928,0.37132,0.28598,0.74854,0.000943283,0.000943283,0.000943283
105,39502,0.42897,0.30881,0.89363,0.99843,0.94444,0.9585,0.89601,0.4285,0.28489,0.7606,0.000938567,0.000938567,0.000938567
106,39877,0.42595,0.31196,0.9076,0.99758,0.94444,0.95129,0.9006,0.38301,0.24667,0.75713,0.000933851,0.000933851,0.000933851
107,40252.2,0.3919,0.28526,0.88106,0.99794,0.94444,0.9603,0.92109,0.36907,0.23955,0.75591,0.000929136,0.000929136,0.000929136
108,40627.4,0.3882,0.2947,0.88155,0.9979,0.94444,0.95217,0.88622,0.40842,0.24568,0.76663,0.00092442,0.00092442,0.00092442
109,41002.3,0.39121,0.29781,0.88973,1,0.94137,0.954,0.8802,0.37302,0.26972,0.76119,0.000919704,0.000919704,0.000919704
110,41377.1,0.40236,0.28929,0.88557,1,0.94136,0.96916,0.91538,0.37434,0.28792,0.75338,0.000914989,0.000914989,0.000914989
111,41751.7,0.39111,0.2842,0.87779,1,0.94171,0.96686,0.91677,0.35952,0.27121,0.74994,0.000910273,0.000910273,0.000910273
112,42126,0.39187,0.28299,0.88335,1,0.94131,0.95741,0.9053,0.3879,0.28852,0.76838,0.000905557,0.000905557,0.000905557
113,42500.7,0.40157,0.28671,0.87746,0.99793,0.94444,0.95593,0.88276,0.39707,0.24853,0.76388,0.000900842,0.000900842,0.000900842
114,42875.5,0.38756,0.28447,0.87759,1,0.94129,0.95456,0.91111,0.31325,0.28338,0.73841,0.000896126,0.000896126,0.000896126
115,43250.4,0.38194,0.28282,0.8881,0.99999,0.94444,0.95775,0.92625,0.3359,0.23631,0.74781,0.00089141,0.00089141,0.00089141
116,43624.8,0.38749,0.28143,0.87963,0.99782,0.94444,0.96083,0.90707,0.36418,0.26009,0.7584,0.000886694,0.000886694,0.000886694
117,43999.7,0.39405,0.2909,0.8836,0.99821,0.94444,0.95217,0.8801,0.4152,0.27754,0.75951,0.000881979,0.000881979,0.000881979
118,44374.5,0.38331,0.27896,0.8802,0.99565,0.88889,0.95375,0.90948,0.35936,0.27513,0.75143,0.000877263,0.000877263,0.000877263
119,44749.2,0.37105,0.27842,0.87845,0.99653,0.88889,0.95344,0.90948,0.35908,0.27402,0.74736,0.000872547,0.000872547,0.000872547
120,45123.6,0.38071,0.28624,0.87563,1,0.9418,0.96083,0.9191,0.3584,0.27005,0.7534,0.000867832,0.000867832,0.000867832
121,45498.1,0.36708,0.2748,0.8692,0.99753,0.94444,0.9603,0.90953,0.3796,0.2571,0.76458,0.000863116,0.000863116,0.000863116
122,45872.4,0.37126,0.27172,0.87629,0.99749,0.94444,0.962,0.91911,0.35576,0.26538,0.75561,0.0008584,0.0008584,0.0008584
123,46247,0.37565,0.27868,0.86937,1,0.94398,0.96139,0.89642,0.35095,0.27705,0.74764,0.000853685,0.000853685,0.000853685
124,46622.2,0.38119,0.28399,0.88538,0.99774,0.94444,0.95437,0.90062,0.37231,0.26652,0.75288,0.000848969,0.000848969,0.000848969
125,46997.2,0.36253,0.2734,0.87881,0.99725,0.94444,0.96496,0.92047,0.34129,0.2407,0.74154,0.000844253,0.000844253,0.000844253
126,47372.2,0.36657,0.27594,0.87371,0.99826,0.94444,0.95647,0.90156,0.34665,0.24354,0.7518,0.000839537,0.000839537,0.000839537
127,47747.2,0.36898,0.27638,0.87648,1,0.9422,0.96265,0.89763,0.37123,0.28337,0.7591,0.000834822,0.000834822,0.000834822
128,48122.1,0.37702,0.27254,0.87418,1,0.94163,0.95543,0.88317,0.37148,0.27404,0.74993,0.000830106,0.000830106,0.000830106
129,48497,0.37476,0.27678,0.87449,1,0.94138,0.95891,0.90587,0.37073,0.25228,0.74562,0.00082539,0.00082539,0.00082539
130,48872.5,0.37335,0.27721,0.86839,1,0.94121,0.95811,0.89787,0.35802,0.27082,0.7485,0.000820675,0.000820675,0.000820675
131,49247.7,0.36166,0.26606,0.87014,0.99665,0.88889,0.94518,0.91697,0.34143,0.28228,0.75033,0.000815959,0.000815959,0.000815959
132,49623.4,0.38402,0.27344,0.88254,1,0.9413,0.96412,0.91367,0.33748,0.28847,0.75422,0.000811243,0.000811243,0.000811243
133,49999.2,0.35398,0.26843,0.86803,1,0.94141,0.96412,0.91656,0.39349,0.30286,0.76277,0.000806528,0.000806528,0.000806528
134,50374.6,0.36706,0.26776,0.87225,1,0.94126,0.96139,0.9079,0.36766,0.27218,0.7592,0.000801812,0.000801812,0.000801812
135,50750,0.36003,0.26592,0.87781,0.99784,0.94444,0.96265,0.90868,0.3544,0.23654,0.75137,0.000797096,0.000797096,0.000797096
136,51125.3,0.37254,0.27339,0.87604,0.99658,0.94444,0.95775,0.91604,0.34087,0.25818,0.74713,0.00079238,0.00079238,0.00079238
137,51500.7,0.35726,0.27129,0.87553,1,0.94285,0.9585,0.91858,0.32652,0.26731,0.74632,0.000787665,0.000787665,0.000787665
138,51876.1,0.36487,0.26072,0.86221,1,0.94213,0.95437,0.90205,0.3377,0.25742,0.74648,0.000782949,0.000782949,0.000782949
139,52251.5,0.37466,0.2825,0.88262,1,0.94354,0.95437,0.91923,0.32518,0.25308,0.74369,0.000778233,0.000778233,0.000778233
140,52626.8,0.36509,0.27305,0.87252,1,0.94156,0.95456,0.90651,0.32258,0.28259,0.74848,0.000773518,0.000773518,0.000773518
141,53002.2,0.36423,0.27675,0.87282,1,0.94137,0.96336,0.93414,0.32381,0.28841,0.74712,0.000768802,0.000768802,0.000768802
142,53377.5,0.36485,0.27139,0.87566,1,0.94114,0.96336,0.92442,0.33694,0.27925,0.75113,0.000764086,0.000764086,0.000764086
143,53752.8,0.34623,0.26284,0.85988,0.99679,0.88889,0.9377,0.88568,0.35856,0.27723,0.75214,0.000759371,0.000759371,0.000759371
144,54128.2,0.33581,0.25308,0.85447,1,0.94141,0.96586,0.91317,0.34307,0.27099,0.75083,0.000754655,0.000754655,0.000754655
145,54503.7,0.36819,0.2639,0.87871,1,0.94338,0.95981,0.90764,0.35715,0.25127,0.75346,0.000749939,0.000749939,0.000749939
146,54879,0.36286,0.26535,0.86797,0.99672,0.88889,0.9147,0.88607,0.35407,0.30135,0.75406,0.000745223,0.000745223,0.000745223
147,55254,0.3624,0.26603,0.87992,0.99646,0.88889,0.937,0.89415,0.35778,0.26135,0.75342,0.000740508,0.000740508,0.000740508
148,55629.5,0.35428,0.2573,0.8761,0.99886,0.94444,0.95456,0.89308,0.39673,0.24905,0.75877,0.000735792,0.000735792,0.000735792
149,56005.2,0.34705,0.25577,0.87299,0.99757,0.94444,0.95498,0.89189,0.35404,0.23885,0.74815,0.000731076,0.000731076,0.000731076
150,56380.7,0.35695,0.26238,0.88113,1,0.94398,0.962,0.92746,0.33773,0.23483,0.74499,0.000726361,0.000726361,0.000726361
151,56756.4,0.35476,0.264,0.87038,1,0.94303,0.95891,0.92107,0.34907,0.24644,0.74568,0.000721645,0.000721645,0.000721645
152,57131.7,0.35332,0.26377,0.87251,1,0.94149,0.96083,0.92091,0.3586,0.23831,0.74804,0.000716929,0.000716929,0.000716929
153,57507.2,0.34244,0.25473,0.86158,0.99671,0.88889,0.95508,0.89299,0.36505,0.26545,0.75024,0.000712214,0.000712214,0.000712214
